#title velocity distribution uncertainty for Xenon
#yName std{c} min{c} max{c} SHM++{c} 
#xName Mcdm
#xMin 5.477226E+00
#xMax 1.083470E+03
#xDim  29 29 29 29
#xScale 1
#---   starting of data ---
#  std           min           max           SHM++       
 2.833766E-44   1.048684E-44   5.288924E-44   8.090841E-45  
 5.165608E-45   2.416999E-45   8.230780E-45   1.688135E-45  
 1.362392E-45   7.333541E-46   1.987212E-45   4.816686E-46  
 4.570282E-46   2.769461E-46   6.243350E-46   1.725208E-46  
 1.912259E-46   1.334104E-46   2.439564E-46   7.807794E-47  
 1.035278E-46   8.081746E-47   1.220040E-46   4.565241E-47  
 6.939726E-47   5.867953E-47   7.682596E-47   3.242131E-47  
 5.410751E-47   4.865914E-47   5.748438E-47   2.654830E-47  
 4.735295E-47   4.463270E-47   4.881508E-47   2.417453E-47  
 4.520442E-47   4.407749E-47   4.562347E-47   2.383318E-47  
 4.603153E-47   4.508237E-47   4.640074E-47   2.489478E-47  
 4.911824E-47   4.831165E-47   5.025217E-47   2.709259E-47  
 5.419020E-47   5.302518E-47   5.623562E-47   3.034360E-47  
 6.121559E-47   5.965481E-47   6.418851E-47   3.467125E-47  
 7.031655E-47   6.834262E-47   7.429446E-47   4.017226E-47  
 8.173328E-47   7.930169E-47   8.684659E-47   4.700414E-47  
 9.581273E-47   9.285549E-47   1.022300E-46   5.537528E-47  
 1.129959E-46   1.094231E-46   1.209436E-46   6.555626E-47  
 1.338445E-46   1.295433E-46   1.436008E-46   7.788049E-47  
 1.590455E-46   1.538767E-46   1.709508E-46   9.275513E-47  
 1.894336E-46   1.832281E-46   2.039012E-46   1.106735E-46  
 2.260184E-46   2.185717E-46   2.435480E-46   1.322315E-46  
 2.700173E-46   2.610830E-46   2.912112E-46   1.581468E-46  
 3.228958E-46   3.121775E-46   3.484784E-46   1.892825E-46  
 3.864156E-46   3.735572E-46   4.172580E-46   2.266762E-46  
 4.626936E-46   4.472674E-46   4.998421E-46   2.715740E-46  
 5.542719E-46   5.357647E-46   5.989832E-46   3.254723E-46  
 6.642030E-46   6.419987E-46   7.179860E-46   3.901675E-46  
 7.961510E-46   7.695102E-46   8.608169E-46   4.678163E-46  
